brand,category,condition,original_price,resale_price
Steve Madden,Men's Tops,Like New,4400,2150
Westside,Men's Tops,Fair,2100,550
Ritu Wear,Women's Dresses,Like New,6400,3900
COS,Men's Bottoms,Like New,12800,7650
Monte Carlo,Women's Bottoms,Fair,2800,800
Monte Carlo,Women's Sets,Well Loved,4600,700
Chemistry,Women's Traditional,Well Loved,2400,350
Biba,Women's Bottoms,Like New,4800,3100
Steve Madden,Women's Bottoms,New with tags,5000,3750
Arrow,Women's Tops,Like New,3000,1600
Only,Women's Traditional,Good,2500,1050
Thrift,Bags,New with tags,1350,1200
FabIndia,Women's Outerwear,Like New,6300,4850
Arrow,Men's Outerwear,Fair,3500,900
Ritu Wear,Women's Outerwear,Good,4500,1950
Toteme,Jewelry,Good,32700,15550
Shantanu & Nikhil,Men's Tops,Like New,20500,10500
Marks & Spencer,Women's Traditional,Like New,7200,5300
Only,Women's Bottoms,New with tags,900,800
Global Desi,Women's Bottoms,New with tags,9600,6550
Clarks,Women's Bottoms,New with tags,4800,3850
Sangria,Bags,Good,1500,700
ARKET,Men's Bottoms,Like New,9000,5850
Max,Men's Tops,Well Loved,1200,150
Clarks,Women's Tops,Fair,10700,2400
Sangria,Men's Outerwear,Like New,2100,1450
AND,Women's Tops,Good,5000,1900
W,Men's Bottoms,Good,4600,1900
Park Avenue,Men's Bottoms,Good,5200,2000
Clarks,Men's Formal,New with tags,11000,9150
V-Mart,Men's Tops,Like New,850,450
FabIndia,Men's Outerwear,Like New,6300,4350
Manish Malhotra,Women's Dresses,Like New,66500,41800
Steve Madden,Men's Tops,Good,6400,2350
Hidesign,Women's Traditional,Like New,14600,10000
Global Desi,Women's Traditional,Fair,4300,1200
Nine West,Women's Bottoms,Fair,4900,1450
Zara,Women's Bottoms,Fair,3100,850
Local Brand,Women's Outerwear,Like New,600,350
Manish Malhotra,Men's Bottoms,Like New,45000,23050
Toteme,Men's Tops,Fair,12600,2300
Accessorize,Women's Traditional,Like New,800,600
Payal Singhal,Women's Traditional,New with tags,19800,15700
Sangria,Bags,New with tags,1500,1300
Local Brand,Men's Outerwear,Like New,1100,750
No Brand,Jewelry,Like New,800,600
Levi's,Men's Tops,Like New,3000,1650
Tommy Hilfiger,Women's Tops,Good,8300,2950
Adidas,Men's Bottoms,Good,6700,3050
No Brand,Men's Tops,Well Loved,600,100
New Balance,Men's Outerwear,New with tags,6500,5850
Sangria,Bags,Good,2200,950
New Balance,Women's Dresses,Good,5700,2100
Skechers,Men's Tops,New with tags,3800,3050
No Brand,Bags,Well Loved,850,100
Lacoste,Women's Traditional,Good,13200,5700
Baggit,Accessories,Good,3000,950
Tommy Hilfiger,Women's Outerwear,Good,5600,3200
Peter England,Women's Tops,New with tags,1600,1300
Van Heusen,Men's Outerwear,New with tags,5400,4400
Allen Solly,Women's Traditional,Fair,4200,1150
Peter England,Women's Tops,Like New,3600,1900
Reliance Trends,Men's Outerwear,Good,900,350
Hidesign,Jewelry,Well Loved,11400,1500
Anatomy,Bags,Like New,3800,2550
Westside,Women's Bottoms,Good,1800,800
Nanushka,Men's Formal,Like New,25600,18400
Chemistry,Women's Bottoms,New with tags,3500,2900
Baggit,Men's Formal,Good,3400,1500
Tribe Amrapali,Women's Traditional,Like New,2900,2100
Charles & Keith,Men's Formal,Like New,4600,3300
Tribe Amrapali,Women's Traditional,Good,7700,3950
Rohit Bal,Women's Tops,Well Loved,43300,4950
Acne Studios,Women's Dresses,Good,39500,16800
Ralph Lauren,Women's Tops,Fair,9000,2200
Shantanu & Nikhil,Men's Formal,Fair,31200,7550
Baggit,Footwear,New with tags,1300,1170
Charles & Keith,Men's Bottoms,Good,3100,1350
ASOS,Women's Bottoms,Like New,800,400
FabIndia,Women's Traditional,Like New,4100,3050
Calvin Klein,Women's Bottoms,Good,7500,3200
Thrift,Women's Tops,Good,550,200
Pantaloons,Footwear,Good,1100,450
No Brand,Women's Outerwear,Well Loved,850,100
Ritu Wear,Men's Formal,Like New,4400,2700
Converse,Women's Tops,Fair,5300,1150
Anita Dongre,Footwear,Fair,34700,11100
Charles & Keith,Men's Tops,Like New,6600,4000
Nanushka,Men's Tops,Well Loved,22600,2500
Thrift,Women's Traditional,Like New,1400,900
Uniqlo,Women's Tops,Good,6800,3000
Calvin Klein,Women's Bottoms,Fair,8600,2450
AND,Men's Outerwear,Good,1800,850
Aurelia,Accessories,Fair,2300,500
Park Avenue,Women's Tops,Like New,4800,2700
Amrapali,Women's Tops,Like New,3400,2200
V-Mart,Women's Bottoms,New with tags,1300,1000
H&M,Women's Tops,New with tags,600,450
Steve Madden,Footwear,Like New,6200,4450
Arrow,Women's Traditional,Fair,1900,450
Baggit,Men's Tops,Well Loved,2400,300
ASOS,Bags,Fair,1100,350
FabIndia,Women's Tops,Like New,6800,4750
Anju Modi,Men's Tops,Good,20700,7400
Clarks,Jewelry,Fair,5200,1550
No Brand,Women's Bottoms,Fair,500,100
Sabyasachi,Women's Bottoms,Well Loved,198100,28650
ARKET,Men's Tops,New with tags,5200,3650
Skechers,Women's Tops,Like New,3200,1700
Payal Singhal,Women's Traditional,Fair,17300,4150
V-Mart,Women's Tops,Fair,1350,300
Abu Jani Sandeep Khosla,Women's Tops,Good,58100,24250
ASOS,Women's Tops,New with tags,3300,2350
Thrift,Women's Dresses,Like New,1500,950
Reliance Trends,Women's Traditional,Fair,600,200
Peter England,Men's Bottoms,Like New,2200,1200
W,Women's Traditional,Fair,2400,600
Ralph Lauren,Men's Tops,Good,6400,2150
Amrapali,Men's Outerwear,Good,13000,6000
& Other Stories,Women's Traditional,Fair,13400,3950
Anita Dongre,Accessories,Good,19300,6600
Accessorize,Women's Bottoms,Like New,3500,2250
Max,Women's Bottoms,Good,1600,700
Monte Carlo,Women's Tops,Well Loved,4300,450
Puma,Bags,Like New,2300,1550
Payal Singhal,Women's Tops,Good,6700,2650
Only,Women's Traditional,Like New,2100,1550
Local Brand,Women's Tops,New with tags,550,450
New Balance,Women's Traditional,Good,10500,4400
Van Heusen,Women's Tops,Good,2600,1100
Puma,Women's Tops,Like New,4700,2450
Marks & Spencer,Men's Bottoms,Fair,3400,700
Forever 21,Women's Bottoms,Like New,3000,2000
FabIndia,Women's Tops,Fair,1100,250
Reebok,Women's Sets,Good,5400,2050
Tarun Tahiliani,Accessories,Like New,115500,64750
Jaypore,Women's Tops,Fair,2900,700
Aurelia,Footwear,Fair,1700,450
ARKET,Women's Dresses,Like New,15100,10300
Reformation,Women's Bottoms,Like New,11400,7550
Anamika Khanna,Women's Bottoms,Fair,24300,6850
Biba,Men's Tops,Fair,4900,1250
Reebok,Women's Bottoms,New with tags,3900,2900
Masaba Gupta,Women's Outerwear,New with tags,14200,12400
Adidas,Women's Tops,Fair,8000,2000
Pantaloons,Women's Sets,Well Loved,3100,400
Max,Men's Tops,Like New,1400,650
COS,Men's Outerwear,Fair,14800,3750
Ritu Kumar,Women's Bottoms,Good,16500,6200
Amrapali,Footwear,Like New,16200,9850
Under Armour,Women's Tops,New with tags,6100,4900
Reliance Trends,Footwear,Like New,1350,800
Aurelia,Women's Tops,Good,1200,500
Under Armour,Men's Outerwear,Good,7000,3650
Louis Philippe,Women's Tops,Good,4800,1600
Marks & Spencer,Women's Outerwear,Fair,2700,850
Converse,Men's Formal,Like New,7000,5350
Rohit Bal,Men's Tops,Fair,59000,12750
Zara,Men's Formal,Fair,7400,1700
H&M,Women's Traditional,Good,4400,2200
Biba,Women's Bottoms,Like New,6800,4800
Mango,Women's Traditional,Well Loved,9900,1400
Tribe Amrapali,Women's Dresses,Like New,2700,1650
Nine West,Women's Tops,Good,5200,2400
Allen Solly,Men's Formal,Like New,4900,3400
Reformation,Men's Formal,New with tags,23500,21150
Abu Jani Sandeep Khosla,Women's Traditional,Like New,56200,34200
Hidesign,Women's Tops,Well Loved,17400,2600
Nanushka,Women's Tops,Well Loved,18900,3000
Westside,Women's Traditional,New with tags,800,720
Peter England,Bags,Good,2200,1000
& Other Stories,Women's Tops,Like New,11800,6350
Anatomy,Women's Sets,New with tags,3000,2250
Vero Moda,Women's Tops,Like New,3800,2250
Louis Philippe,Accessories,New with tags,4900,3800
Peter England,Women's Tops,Fair,900,200
Tarun Tahiliani,Women's Outerwear,New with tags,55500,47200
Thrift,Men's Bottoms,Like New,250,150
Lacoste,Men's Formal,Good,13800,5600
Nanushka,Women's Tops,Fair,18600,3700
Uniqlo,Footwear,Like New,2700,1900
Westside,Women's Bottoms,Fair,1200,300
Under Armour,Women's Bottoms,Fair,4600,1050
Ritu Wear,Women's Outerwear,Like New,6700,5050
New Balance,Men's Outerwear,Fair,5700,1800
Arrow,Women's Outerwear,Like New,2800,1900
Vero Moda,Women's Bottoms,Good,3200,1500
V-Mart,Jewelry,Like New,1500,950
Rangmanch,Women's Traditional,Fair,3700,1050
Reliance Trends,Men's Tops,Good,600,200
Jaypore,Women's Traditional,Good,5300,2800
Amrapali,Women's Traditional,New with tags,5300,4450
Nike,Women's Bottoms,Like New,7900,4700
Monte Carlo,Women's Tops,Fair,3800,850
Baggit,Women's Bottoms,Like New,1400,850
Anju Modi,Men's Outerwear,Well Loved,29700,5150
Peter England,Women's Dresses,Fair,3500,1050
Lacoste,Men's Outerwear,Good,5200,2050
Anatomy,Women's Tops,Good,2300,1000
V-Mart,Footwear,New with tags,750,650
H&M,Men's Bottoms,Fair,800,200
Biba,Women's Traditional,Good,1800,900
No Brand,Women's Bottoms,Well Loved,600,100
& Other Stories,Women's Dresses,Like New,5200,3300
Allen Solly,Footwear,Fair,2400,650
Toteme,Men's Tops,Good,12300,4950
Thrift,Women's Bottoms,Good,1150,550
Sangria,Women's Tops,Fair,1000,300
Aldo,Men's Tops,Fair,4800,1150
Arrow,Women's Outerwear,Well Loved,3500,650
Vans,Women's Traditional,Good,4200,1900
AND,Men's Tops,Like New,6800,4400
Rangmanch,Women's Tops,Like New,3200,1850
New Balance,Women's Traditional,Like New,5500,4450
Only,Women's Bottoms,Fair,1500,350
Reebok,Women's Bottoms,Like New,7000,4650
Anatomy,Women's Tops,Well Loved,2900,450
FabIndia,Women's Tops,Like New,4500,2950
Adidas,Women's Dresses,Fair,4900,1450
Rangmanch,Women's Traditional,Like New,3200,2100
Anamika Khanna,Women's Traditional,Good,26000,13300
V-Mart,Women's Tops,Well Loved,750,100
Jaypore,Men's Bottoms,Like New,4700,2450
Nanushka,Men's Bottoms,Fair,19900,4500
Nanushka,Women's Outerwear,Good,12400,7050
Vans,Women's Sets,Good,5800,2550
Westside,Men's Outerwear,Like New,2900,2250
Abu Jani Sandeep Khosla,Women's Sets,Like New,75900,54050
Charles & Keith,Men's Bottoms,Good,3600,1500
Tribe Amrapali,Women's Tops,Good,1700,700
Tarun Tahiliani,Women's Traditional,Like New,70100,46000
V-Mart,Bags,Fair,1150,250
Levi's,Women's Sets,Well Loved,5600,800
W,Footwear,Like New,2600,1900
Aldo,Men's Tops,Like New,3900,2100
Vans,Men's Bottoms,Good,6600,2550
Monte Carlo,Bags,Fair,2000,500
Tribe Amrapali,Footwear,Like New,4100,2600
Ritu Kumar,Women's Outerwear,Good,14300,6350
Accessorize,Women's Bottoms,Fair,1500,350
COS,Men's Tops,Good,6700,2650
Charles & Keith,Women's Tops,Like New,7200,4300
Sabyasachi,Accessories,Well Loved,69500,9500
Westside,Women's Traditional,Like New,3900,2700
Anju Modi,Men's Tops,Like New,24000,12850
Lacoste,Women's Traditional,Fair,13300,3350
Anatomy,Women's Bottoms,Fair,4500,900
Vans,Women's Sets,Like New,7900,5500
Arrow,Women's Dresses,Fair,1800,450
ARKET,Women's Outerwear,Fair,13400,3650
AND,Men's Outerwear,Good,7100,3350
Rangmanch,Men's Outerwear,Good,1300,600
Nanushka,Women's Traditional,Well Loved,9100,1250
New Balance,Bags,Like New,11500,7550
Steve Madden,Women's Tops,Like New,5100,3000
Puma,Men's Tops,Good,6700,2300
Nanushka,Women's Traditional,Good,29800,13900
Westside,Men's Bottoms,Fair,3400,900
Local Brand,Footwear,New with tags,950,700
Sangria,Women's Tops,Fair,3700,800
Calvin Klein,Women's Outerwear,Good,4700,2150
Anju Modi,Footwear,Good,8300,3250
Sangria,Women's Tops,Good,3400,1400
Sabyasachi,Men's Bottoms,Good,52000,17350
Masaba Gupta,Bags,New with tags,23700,20050
Nanushka,Men's Bottoms,Well Loved,22600,3050
Tribe Amrapali,Women's Traditional,Well Loved,4300,600
Arrow,Women's Tops,Fair,1800,500
Toteme,Men's Bottoms,Like New,10100,5150
Arrow,Women's Traditional,Like New,2300,1450
Mango,Bags,Fair,2200,650
Tarun Tahiliani,Women's Bottoms,New with tags,85500,70150
Anita Dongre,Women's Bottoms,New with tags,22000,18500
Masaba Gupta,Women's Tops,Well Loved,9700,1550
Max,Women's Sets,Good,1100,400
Allen Solly,Women's Bottoms,Like New,1500,1100
Lacoste,Men's Tops,Good,9000,4250
Tribe Amrapali,Men's Outerwear,Like New,4600,3000
Park Avenue,Women's Traditional,Fair,2600,800
Masaba Gupta,Women's Sets,Well Loved,16100,1750
Levi's,Women's Outerwear,New with tags,5400,4860
Mango,Women's Tops,Like New,6500,3250
No Brand,Men's Bottoms,Good,650,250
Manish Malhotra,Women's Bottoms,Like New,121600,82200
Clarks,Men's Tops,Good,6900,2350
Adidas,Women's Traditional,Good,4400,1900
Anatomy,Women's Traditional,Fair,3800,1100
Levi's,Women's Traditional,Like New,6200,3750
Aldo,Women's Sets,Good,6500,2450
Charles & Keith,Women's Traditional,Fair,5700,1750
Nine West,Men's Bottoms,Good,7300,2950
FabIndia,Women's Bottoms,Fair,3800,1050
Masaba Gupta,Women's Dresses,Fair,6500,1600
Sabyasachi,Women's Traditional,Fair,80900,21050
Chemistry,Women's Traditional,New with tags,3100,2790
Baggit,Women's Tops,Good,3100,1150
Park Avenue,Accessories,New with tags,5100,3850
Lacoste,Women's Tops,New with tags,5500,4200
FabIndia,Women's Bottoms,Like New,3100,1900
Hidesign,Women's Outerwear,Fair,5300,1850
Rohit Bal,Women's Tops,Like New,55400,27150
Calvin Klein,Women's Tops,Fair,10300,2600
Acne Studios,Footwear,Well Loved,20700,3650
Sangria,Women's Traditional,New with tags,900,810
Sangria,Men's Tops,Like New,3500,1700
Reformation,Men's Bottoms,Good,14800,4700
Steve Madden,Women's Sets,Fair,7700,1950
Nanushka,Men's Outerwear,Good,10600,5100
Acne Studios,Women's Traditional,Fair,24900,8300
Aurelia,Accessories,Like New,3500,1950
Charles & Keith,Women's Outerwear,Well Loved,5300,950
Shantanu & Nikhil,Men's Bottoms,Like New,14700,7500
Tribe Amrapali,Men's Bottoms,Good,7000,2350
Sabyasachi,Bags,Good,163000,60850
Forever 21,Women's Traditional,Good,2000,800
Anju Modi,Women's Sets,Fair,26900,5700
Shantanu & Nikhil,Men's Bottoms,Good,34800,12700
Tribe Amrapali,Women's Bottoms,Like New,3500,1850
Nike,Women's Traditional,Good,2600,1050
Anatomy,Women's Sets,Like New,1200,850
Under Armour,Men's Formal,Like New,7200,4650
Local Brand,Women's Tops,Like New,1700,900
Aurelia,Accessories,Like New,3700,2050
Clarks,Women's Outerwear,Like New,10200,7900
Uniqlo,Women's Sets,Good,5000,2400
Pantaloons,Bags,Like New,3300,2150
H&M,Men's Tops,Like New,1700,850
Vero Moda,Men's Outerwear,New with tags,6000,5350
Chemistry,Bags,Fair,2300,600
Park Avenue,Women's Sets,Well Loved,1700,200
Calvin Klein,Men's Tops,New with tags,13800,10050
Under Armour,Accessories,Good,2100,700
Allen Solly,Women's Sets,Good,2300,950
No Brand,Men's Tops,Like New,1200,650
Shantanu & Nikhil,Women's Tops,Well Loved,11800,1400
Levi's,Women's Dresses,Like New,3100,2000
Payal Singhal,Women's Outerwear,Fair,8500,2850
Calvin Klein,Bags,Fair,8900,2400
Vero Moda,Bags,Like New,3000,2050
Forever 21,Women's Traditional,Fair,3600,950
Sabyasachi,Men's Bottoms,Like New,161600,88500
COS,Men's Outerwear,Good,8000,3150
Baggit,Women's Dresses,Good,4000,1750
Global Desi,Women's Outerwear,Good,3000,1600
V-Mart,Women's Sets,Good,650,250
Amrapali,Men's Tops,Good,10100,3400
Zara,Women's Dresses,Good,8300,3550
Calvin Klein,Women's Dresses,Like New,6800,3800
FabIndia,Bags,Good,2000,900
Anatomy,Women's Traditional,Good,3800,1600
Sangria,Women's Tops,Fair,1700,400
Calvin Klein,Men's Outerwear,Good,11600,5500
Max,Women's Tops,Fair,2100,500
Ritu Kumar,Men's Bottoms,Good,11200,4500
Clarks,Women's Outerwear,Well Loved,7300,1150
ASOS,Men's Formal,Like New,4200,2800
Global Desi,Men's Formal,Good,5100,2450
Levi's,Men's Outerwear,Good,6000,2650
Converse,Women's Outerwear,Like New,7400,6000
Acne Studios,Women's Tops,Fair,27600,5350
Toteme,Men's Bottoms,Like New,13700,7250
Aurelia,Women's Dresses,Good,1900,750
Anju Modi,Women's Traditional,Fair,23000,7050
Baggit,Women's Outerwear,New with tags,4900,4410
W,Men's Tops,Good,5200,2050
Vero Moda,Men's Outerwear,Good,2500,1150
Toteme,Women's Sets,Good,18600,7500
Acne Studios,Men's Tops,Fair,12600,3000
W,Women's Tops,Well Loved,1900,250
Vans,Women's Bottoms,Well Loved,4700,650
Amrapali,Men's Tops,Good,3900,1600
Charles & Keith,Women's Traditional,New with tags,3100,2450
No Brand,Women's Bottoms,Good,150,100
Vero Moda,Men's Tops,Good,2100,750
COS,Women's Outerwear,Fair,5500,1850
Nanushka,Men's Tops,Good,10400,4100
Calvin Klein,Women's Traditional,Fair,10100,2400
ASOS,Men's Formal,New with tags,1100,950
Ritu Wear,Women's Outerwear,Good,7400,3450
Clarks,Women's Sets,Good,8700,4200
Vans,Women's Bottoms,Good,4300,1750
Steve Madden,Women's Dresses,Like New,6500,4200
Manish Malhotra,Jewelry,Well Loved,54500,9400
Jaypore,Women's Dresses,Like New,4400,2700
No Brand,Women's Tops,Like New,200,100
Chemistry,Women's Outerwear,Good,3600,1650
Park Avenue,Women's Dresses,Like New,1600,1050
Ralph Lauren,Women's Dresses,Like New,14500,10050
Payal Singhal,Women's Outerwear,Good,27000,11350
Forever 21,Women's Tops,Good,800,350
Lacoste,Women's Tops,Good,11000,4450
Allen Solly,Women's Dresses,Fair,2400,600
New Balance,Men's Bottoms,Like New,13100,7300
Louis Philippe,Women's Tops,Good,5200,1850
Jaypore,Women's Tops,Fair,2300,500
Max,Men's Tops,Like New,2000,1150
Manish Malhotra,Women's Bottoms,Good,82100,33750
Rohit Bal,Women's Sets,Well Loved,65700,8500
Only,Footwear,Like New,4300,2600
Anita Dongre,Women's Bottoms,Fair,39400,9950
Pantaloons,Men's Formal,Fair,1600,350
Amrapali,Women's Bottoms,Good,8200,3400
No Brand,Accessories,Well Loved,950,100
Clarks,Women's Bottoms,Well Loved,3700,500
Manish Malhotra,Bags,New with tags,112300,101070
COS,Women's Bottoms,Well Loved,8600,1550
Reformation,Men's Bottoms,New with tags,23700,18350
Amrapali,Women's Traditional,Fair,12900,3700
Aurelia,Women's Tops,Good,2600,1100
Aldo,Men's Formal,Well Loved,4700,750
Biba,Women's Bottoms,New with tags,2200,1800
Ralph Lauren,Women's Tops,Good,9700,3400
Levi's,Women's Traditional,Good,8000,3550
Vans,Men's Outerwear,Good,3700,1800
Anju Modi,Men's Bottoms,Well Loved,16100,1550
Lacoste,Women's Tops,Like New,8500,5000
Pantaloons,Women's Tops,Fair,900,200
Hidesign,Women's Tops,Fair,10000,2600
Thrift,Women's Sets,Well Loved,300,100
ASOS,Men's Outerwear,New with tags,4300,3650
Pantaloons,Women's Tops,Well Loved,2000,300
Tribe Amrapali,Men's Tops,Like New,3100,1600
Ralph Lauren,Women's Tops,Good,8700,3250
Peter England,Women's Traditional,New with tags,2000,1800
Louis Philippe,Women's Bottoms,Well Loved,5000,500
FabIndia,Women's Traditional,Fair,2900,800
New Balance,Women's Bottoms,Like New,7000,4850
Masaba Gupta,Men's Outerwear,Good,12100,5450
Tommy Hilfiger,Women's Tops,Good,5400,2550
Masaba Gupta,Men's Bottoms,Well Loved,16500,2500
Lacoste,Women's Bottoms,Good,12100,5700
Abu Jani Sandeep Khosla,Men's Bottoms,Like New,69700,42250
Anatomy,Women's Dresses,Like New,1000,600
Tarun Tahiliani,Women's Dresses,New with tags,113000,82200
Lacoste,Footwear,Fair,7200,1650
Reformation,Men's Bottoms,Fair,22600,5900
Aurelia,Women's Sets,Like New,2200,1600
Forever 21,Men's Outerwear,Well Loved,2800,400
V-Mart,Men's Outerwear,Like New,1000,650
Converse,Women's Tops,Fair,7800,2100
Sangria,Women's Tops,Good,3700,1550
Sangria,Women's Tops,Good,1800,600
Reebok,Women's Bottoms,Fair,2000,550
Under Armour,Women's Traditional,Like New,3500,2100
COS,Men's Bottoms,New with tags,8800,6050
H&M,Women's Dresses,Like New,2700,1600
Max,Men's Tops,Good,700,250
Converse,Women's Tops,Like New,4000,2550
Tommy Hilfiger,Men's Bottoms,Good,11100,3950
V-Mart,Footwear,Good,800,400
Forever 21,Women's Bottoms,Like New,1300,800
Arrow,Women's Bottoms,Like New,2300,1300
Baggit,Women's Bottoms,Like New,3100,1900
Local Brand,Women's Dresses,New with tags,600,540
Westside,Men's Formal,Like New,1900,1300
Anju Modi,Men's Tops,Like New,15500,8000
Ritu Kumar,Women's Bottoms,Good,11400,3900
Acne Studios,Women's Tops,Like New,32600,21550
Peter England,Women's Tops,Like New,2500,1700
Westside,Women's Sets,Like New,1500,1050
Rohit Bal,Women's Dresses,Well Loved,69000,10500
& Other Stories,Bags,Good,13500,5300
Mango,Women's Tops,Good,9900,4350
Reformation,Men's Formal,Like New,23500,14850
Ritu Wear,Women's Sets,Good,7900,3750
Manish Malhotra,Men's Outerwear,Good,97500,44150
Reformation,Women's Sets,Good,24400,8600
Acne Studios,Men's Outerwear,Fair,45400,13650
Baggit,Women's Sets,Good,1900,800
Rangmanch,Women's Tops,Fair,2300,550
New Balance,Footwear,New with tags,12400,9900
Baggit,Men's Formal,Good,5900,2300
ASOS,Men's Bottoms,Like New,3800,2050
ASOS,Women's Bottoms,Fair,3900,1150
Masaba Gupta,Women's Dresses,Like New,11200,6450
Louis Philippe,Footwear,New with tags,2800,2520
Clarks,Women's Tops,New with tags,6600,4850
Pantaloons,Women's Dresses,Good,900,300
Local Brand,Women's Traditional,Well Loved,1000,150
Aldo,Men's Bottoms,Good,4100,1400
Max,Men's Bottoms,Like New,900,450
H&M,Women's Dresses,Fair,4400,1150
Toteme,Men's Tops,Good,10200,3900
Puma,Men's Bottoms,Good,2800,1300
W,Women's Bottoms,Good,4300,1850
COS,Women's Tops,Well Loved,14600,2250
Local Brand,Men's Tops,Like New,450,250
Skechers,Men's Formal,Like New,6400,4300
Ralph Lauren,Women's Dresses,Like New,5900,4250
Rangmanch,Men's Tops,Good,3900,1700
Aldo,Footwear,Like New,6600,4950
Mango,Women's Outerwear,Good,7200,3550
FabIndia,Women's Dresses,Fair,6000,1550
Acne Studios,Women's Traditional,Fair,39600,12250
Under Armour,Men's Tops,Like New,3300,1950
Under Armour,Women's Traditional,Good,4800,1800
Thrift,Women's Sets,Good,800,300
Tribe Amrapali,Women's Dresses,Like New,8000,5300
AND,Women's Traditional,Good,8300,3600
Zara,Men's Bottoms,Good,6000,2200
Sabyasachi,Women's Traditional,Like New,164900,105800
Anju Modi,Women's Tops,Good,16900,6600
Sabyasachi,Women's Tops,Like New,102800,54250
Louis Philippe,Women's Bottoms,Good,5600,2250
Global Desi,Women's Outerwear,Like New,5800,3600
Ritu Kumar,Women's Outerwear,Like New,23500,16500
Nanushka,Women's Outerwear,Well Loved,16500,2450
Rangmanch,Women's Tops,Like New,4900,2500
Chemistry,Women's Bottoms,Like New,3200,1950
Nine West,Men's Bottoms,Good,6600,2050
Tarun Tahiliani,Women's Tops,Like New,72800,38500
Ralph Lauren,Women's Bottoms,Good,5100,1850
Allen Solly,Women's Bottoms,Good,1900,750
Vintage,Women's Tops,Like New,0,400
Aldo,Men's Formal,Well Loved,4500,550
Peter England,Women's Dresses,Like New,3800,2050
Anju Modi,Footwear,Fair,22400,4700
Van Heusen,Women's Tops,Fair,5500,1350
Converse,Women's Bottoms,New with tags,7200,6300
Jaypore,Men's Outerwear,Like New,6200,4350
Ritu Kumar,Women's Tops,Like New,21500,13700
Vintage,Women's Bottoms,Fair,0,400
